Jahrgang,Geschlecht,Alter,qx
1952,Mann,68,0.014401
1952,Mann,69,0.0141
1952,Mann,70,0.013833
1952,Mann,71,0.01535
1952,Mann,72,0.016556
1952,Mann,73,0.017929
1952,Mann,74,0.0195
1952,Mann,75,0.021288
1952,Mann,76,0.023321
1952,Mann,77,0.025658
1952,Mann,78,0.028384
1952,Mann,79,0.031566
1952,Mann,80,0.035248
1952,Mann,81,0.039587
1952,Mann,82,0.044722
1952,Mann,83,0.050786
1952,Mann,84,0.057866
1952,Mann,85,0.065989
1952,Mann,86,0.075208
1952,Mann,87,0.085693
1952,Mann,88,0.09767
1952,Mann,89,0.111404
1952,Mann,90,0.127034
1952,Mann,91,0.144617
1952,Mann,92,0.163998
1952,Mann,93,0.184993
1952,Mann,94,0.207445
1952,Mann,95,0.231065
1952,Mann,96,0.255693
1952,Mann,97,0.281846
1952,Mann,98,0.310315
1952,Mann,99,0.342033
1952,Mann,100,0.377148
1952,Mann,101,0.415343
1952,Mann,102,0.455369
1952,Mann,103,0.49743
1952,Mann,104,0.547752
1952,Mann,105,0.610875
1952,Mann,106,0.649144
1952,Mann,107,0.688494
1952,Mann,108,0.728509
1952,Mann,109,0.768613
1952,Mann,110,0.808058
1952,Mann,111,0.845938
1952,Mann,112,0.881231
1952,Mann,113,0.912881
1952,Mann,114,0.939936
1952,Mann,115,0.961705
1952,Mann,116,0.977932
1952,Mann,117,0.988901
1952,Mann,118,0.995426
1952,Mann,119,0.99869
1952,Mann,120,1.0
1953,Frau,0,0.025581
1953,Frau,1,0.00233
1953,Frau,2,0.00119
1953,Frau,3,0.000819
1953,Frau,4,0.000772
1953,Frau,5,0.000224
1953,Frau,6,0.000474
1953,Frau,7,0.000224
1953,Frau,8,0.000267
1953,Frau,9,0.000167
1953,Frau,10,0.000352
1953,Frau,11,0.000187
1953,Frau,12,0.00028
1953,Frau,13,0.000395
1953,Frau,14,0.000231
1953,Frau,15,0.000253
1953,Frau,16,0.000366
1953,Frau,17,0.0005
1953,Frau,18,0.000562
1953,Frau,19,0.000505
1953,Frau,20,0.000538
1953,Frau,21,0.000576
1953,Frau,22,0.000665
1953,Frau,23,0.00039
1953,Frau,24,0.000434
1953,Frau,25,0.000412
1953,Frau,26,0.000583
1953,Frau,27,0.000687
1953,Frau,28,0.000425
1953,Frau,29,0.000528
1953,Frau,30,0.000336
1953,Frau,31,0.000522
1953,Frau,32,0.000499
1953,Frau,33,0.000621
1953,Frau,34,0.000577
1953,Frau,35,0.000696
1953,Frau,36,0.000854
1953,Frau,37,0.000546
1953,Frau,38,0.00074
1953,Frau,39,0.000837
1953,Frau,40,0.001152
1953,Frau,41,0.001151
1953,Frau,42,0.001032
1953,Frau,43,0.001253
1953,Frau,44,0.001297
1953,Frau,45,0.001
1953,Frau,46,0.001582
1953,Frau,47,0.001405
1953,Frau,48,0.001789
1953,Frau,49,0.001971
1953,Frau,50,0.001773
1953,Frau,51,0.001818
1953,Frau,52,0.002491
1953,Frau,53,0.002237
1953,Frau,54,0.002916
1953,Frau,55,0.002945
1953,Frau,56,0.003098
1953,Frau,57,0.002825
1953,Frau,58,0.003045
1953,Frau,59,0.003409
1953,Frau,60,0.003633
1953,Frau,61,0.004133
1953,Frau,62,0.004502
1953,Frau,63,0.004885
1953,Frau,64,0.004779
1953,Frau,65,0.005648
1953,Frau,66,0.006084
1953,Frau,67,0.007006
1953,Frau,68,0.007589
1953,Frau,69,0.007862
1953,Frau,70,0.007782
1953,Frau,71,0.008438
1953,Frau,72,0.009178
1953,Frau,73,0.01002
1953,Frau,74,0.010982
1953,Frau,75,0.01209
1953,Frau,76,0.013375
1953,Frau,77,0.014887
1953,Frau,78,0.016695
1953,Frau,79,0.018873
1953,Frau,80,0.02149
1953,Frau,81,0.024591
1953,Frau,82,0.028272
1953,Frau,83,0.032653
1953,Frau,84,0.037823
1953,Frau,85,0.043941
1953,Frau,86,0.051169
1953,Frau,87,0.059605
1953,Frau,88,0.069327
1953,Frau,89,0.080365
1953,Frau,90,0.092706
1953,Frau,91,0.106335
1953,Frau,92,0.121233
1953,Frau,93,0.137383
1953,Frau,94,0.154789
1953,Frau,95,0.173492
1953,Frau,96,0.193539
1953,Frau,97,0.214958
1953,Frau,98,0.237826
1953,Frau,99,0.262361
1953,Frau,100,0.288536
1953,Frau,101,0.316303
1953,Frau,102,0.345841
1953,Frau,103,0.377458
1953,Frau,104,0.411391
1953,Frau,105,0.446563
1953,Frau,106,0.482451
1953,Frau,107,0.522325
1953,Frau,108,0.563947
1953,Frau,109,0.607034
1953,Frau,110,0.651325
1953,Frau,111,0.696424
1953,Frau,112,0.741768
1953,Frau,113,0.786604
1953,Frau,114,0.82999
1953,Frau,115,0.870808
1953,Frau,116,0.907837
1953,Frau,117,0.939876
1953,Frau,118,0.965941
1953,Frau,119,0.98554
1953,Frau,120,1.0
1953,Mann,0,0.032302
1953,Mann,1,0.002682
1953,Mann,2,0.001827
1953,Mann,3,0.001307
